member_casual,weekday_num,weekday,time_of_day,num_rides,part_of_tot_rides
member,6,Fri,23,4875,0.0014638338453999283
member,7,Sat,0,2853,0.000856680607369435
member,7,Sat,1,1792,0.00053809030788854806
member,7,Sat,2,924,0.00027745281500503256
member,7,Sat,3,455,0.00013662449223732665
member,7,Sat,4,455,0.00013662449223732665
member,7,Sat,5,1041,0.00031258482729463089
member,7,Sat,6,3286,0.00098669908020188
member,7,Sat,7,6256,0.0018785116998609132
member,7,Sat,8,10207,0.003064892730255809
member,7,Sat,9,14978,0.0044974981202872055
member,7,Sat,10,19547,0.0058694482412374157
member,7,Sat,11,23155,0.0069528354236380189
member,7,Sat,12,25662,0.007705621362185223
member,7,Sat,13,26591,0.00798457554523682
member,7,Sat,14,26432,0.0079368320413560831
member,7,Sat,15,25570,0.0076779961901284454
member,7,Sat,16,23602,0.0070870577270008431
member,7,Sat,17,21503,0.0064567834210532641
member,7,Sat,18,18916,0.0056799755937610354
member,7,Sat,19,14160,0.0042518743078693308
member,7,Sat,20,9373,0.0028144645400889289
member,7,Sat,21,6278,0.0018851177192657951
member,7,Sat,22,5298,0.0015908495821392453
member,7,Sat,23,4405,0.0013227052490229097
