member_casual,day_of_year,trip_date,avg_ride_len_secs,avg_ride_len,num_rides,daily_rides,part_of_daily_rides,part_of_tot_rides
member,235,2020-08-22,1073,00:17:53,11829,27737,0.42647005804521038,0.00355193652456118
casual,235,2020-08-22,2402,00:40:02,15908,27737,0.57352994195478968,0.0047767525769481147
member,236,2020-08-23,1047,00:17:27,8856,19672,0.45018300122000815,0.0026592230840742086
casual,236,2020-08-23,2405,00:40:05,10816,19672,0.54981699877999191,0.0032477593583273077
casual,237,2020-08-24,2130,00:35:30,6112,15616,0.39139344262295084,0.0018352723001198693
member,237,2020-08-24,898,00:14:58,9504,15616,0.60860655737704916,0.0028538003829089065
member,238,2020-08-25,904,00:15:04,10438,16646,0.627057551363691,0.0031342559340070673
casual,238,2020-08-25,1918,00:31:58,6208,16646,0.37294244863630904,0.0018640985666138986
member,239,2020-08-26,923,00:15:23,10911,17613,0.61948560722193835,0.0032762853512120242
casual,239,2020-08-26,1965,00:32:45,6702,17613,0.38051439277806165,0.0020124337296144245
casual,240,2020-08-27,1935,00:32:15,6152,16116,0.38173243981136756,0.0018472832444923815
member,240,2020-08-27,886,00:14:46,9964,16116,0.61826756018863238,0.0029919262431927973
casual,241,2020-08-28,2022,00:33:42,8007,18816,0.42554209183673469,0.0024042907897676362
member,241,2020-08-28,890,00:14:50,10809,18816,0.57445790816326525,0.0032456574430621181
member,242,2020-08-29,1047,00:17:27,12166,26721,0.4552973316866884,0.0036531287308995959
casual,242,2020-08-29,2335,00:38:55,14555,26721,0.5447026683133116,0.0043704823835478889
casual,243,2020-08-30,2450,00:40:50,12734,23425,0.54360725720384206,0.0038236841409892692
member,243,2020-08-30,1106,00:18:26,10691,23425,0.45639274279615794,0.0032102251571632071
casual,244,2020-08-31,1976,00:32:56,6099,16313,0.37387359774413043,0.0018313687431988027
member,244,2020-08-31,904,00:15:04,10214,16313,0.62612640225586957,0.0030669946455209986
casual,245,2020-09-01,1525,00:25:25,2963,10085,0.29380267724343084,0.00088971070439384365
member,245,2020-09-01,819,00:13:39,7122,10085,0.70619732275656921,0.002138548645525803
casual,246,2020-09-02,1864,00:31:04,6883,18425,0.37356852103120758,0.0020667832529000425
member,246,2020-09-02,901,00:15:01,11542,18425,0.62643147896879237,0.0034657579986884048
member,247,2020-09-03,876,00:14:36,11023,17881,0.61646440355684806,0.0033099159954550587
casual,247,2020-09-03,1813,00:30:13,6858,17881,0.38353559644315194,0.0020592764126672225
casual,248,2020-09-04,2058,00:34:18,9539,20821,0.45814322078670572,0.002864309959234855
member,248,2020-09-04,974,00:16:14,11282,20821,0.54185677921329423,0.0033876868602670755
casual,249,2020-09-05,2466,00:41:06,16476,27044,0.60922940393432923,0.0049473079870377889
member,249,2020-09-05,1095,00:18:15,10568,27044,0.39077059606567077,0.0031732915032177322
member,250,2020-09-06,965,00:16:05,6434,16021,0.40159790275263718,0.0019319604023185926
casual,250,2020-09-06,2353,00:39:13,9587,16021,0.59840209724736282,0.0028787230924818695
casual,251,2020-09-07,2445,00:40:45,12383,22249,0.55656433997033572,0.0037182881041204745
member,251,2020-09-07,1056,00:17:36,9866,22249,0.44343566002966428,0.0029624994294801424
casual,252,2020-09-08,1344,00:22:24,1723,6286,0.27410117721921728,0.00051737142884596447
member,252,2020-09-08,731,00:12:11,4563,6286,0.72589882278078266,0.001370148479294333
member,253,2020-09-09,806,00:13:26,8229,11723,0.70195342489123946,0.0024709515310350791
casual,253,2020-09-09,1465,00:24:25,3494,11723,0.29804657510876054,0.0010491559909389435
casual,254,2020-09-10,1556,00:25:56,2913,9767,0.29824920651172315,0.0008746970239282034
member,254,2020-09-10,786,00:13:06,6854,9767,0.70175079348827685,0.0020580753182299709
member,255,2020-09-11,853,00:14:13,8648,13794,0.62693924894881836,0.0025967661733371449
casual,255,2020-09-11,1576,00:26:16,5146,13794,0.37306075105118169,0.0015452079935236987
member,256,2020-09-12,866,00:14:26,5578,10245,0.54446071254270378,0.0016749261927468308
casual,256,2020-09-12,1718,00:28:38,4667,10245,0.45553928745729622,0.0014013769346628649
casual,257,2020-09-13,2314,00:38:34,11604,22280,0.52082585278276483,0.0034843749624657991
member,257,2020-09-13,1091,00:18:11,10676,22280,0.47917414721723517,0.0032057210530235152
member,258,2020-09-14,864,00:14:24,9254,14096,0.6564982973893303,0.0027787319805807052
casual,258,2020-09-14,1812,00:30:12,4842,14096,0.3435017026106697,0.0014539248162926059
casual,259,2020-09-15,1762,00:29:22,6083,16981,0.35822389729697895,0.0018265643654497979
