member_casual,day_of_year,month,day_of_month,avg_ride_len_secs,avg_ride_len,num_rides,part_of_tot_rides
member,2,Jan,2,687,00:11:27,5768,0.001731978178516264
casual,2,Jan,2,2213,00:36:53,655,0.00019667921409988781
casual,3,Jan,3,1870,00:31:10,451,0.00013542339780007543
member,3,Jan,3,658,00:10:58,5401,0.0016217777638984643
member,4,Jan,4,621,00:10:21,2767,0.00083085707696853371
casual,4,Jan,4,1915,00:31:55,385,0.00011560533958543024
casual,5,Jan,5,2036,00:33:56,425,0.00012761628395794247
member,5,Jan,5,644,00:10:44,2565,0.000770201807887347
member,6,Jan,6,684,00:11:24,6719,0.0020175383809727422
casual,6,Jan,6,1840,00:30:40,290,8.70793467007137e-05
member,7,Jan,7,645,00:10:45,6854,0.0020580753182299709
casual,7,Jan,7,1766,00:29:26,364,0.00010929959378986133
member,8,Jan,8,596,00:09:56,5226,0.0015692298822687232
casual,8,Jan,8,1826,00:30:26,173,5.1947334411115406e-05
member,9,Jan,9,664,00:11:04,6439,0.0019334617703651567
casual,9,Jan,9,1510,00:25:10,303,9.0982903621780162e-05
member,10,Jan,10,633,00:10:33,5366,0.001611268187572516
casual,10,Jan,10,2348,00:39:08,282,8.467715782621125e-05
member,11,Jan,11,587,00:09:47,885,0.00026574214424183318
casual,11,Jan,11,3160,00:52:40,70,2.101915265189641e-05
member,12,Jan,12,627,00:10:27,1602,0.00048103832211911495
casual,12,Jan,12,3743,01:02:23,139,4.1738031694480014e-05
member,13,Jan,13,653,00:10:53,5889,0.0017683112852431135
casual,13,Jan,13,2188,00:36:28,213,6.3958278783627639e-05
member,14,Jan,14,666,00:11:06,6707,0.0020139350976609888
casual,14,Jan,14,1834,00:30:34,302,9.0682630012467363e-05
member,15,Jan,15,660,00:11:00,6596,0.0019806047270272673
casual,15,Jan,15,1573,00:26:13,268,8.0473327295831957e-05
member,16,Jan,16,595,00:09:55,5225,0.0015689296086594104
casual,16,Jan,16,1479,00:24:39,223,6.69610148767557e-05
member,17,Jan,17,594,00:09:54,3660,0.0010990014100848693
casual,17,Jan,17,2563,00:42:43,166,4.9845419145925766e-05
member,18,Jan,18,609,00:10:09,989,0.00029697059961036497
casual,18,Jan,18,3569,00:59:29,72,2.1619699870522021e-05
member,19,Jan,19,602,00:10:02,822,0.0002468249068551264
casual,19,Jan,19,5094,01:24:54,56,1.6815322121517127e-05
member,20,Jan,20,620,00:10:20,2776,0.000833559539452349
casual,20,Jan,20,2813,00:46:53,122,3.6633380336162311e-05
casual,21,Jan,21,2194,00:36:34,125,3.7534201164100728e-05
member,21,Jan,21,670,00:11:10,5009,0.0015040705090478444
member,22,Jan,22,658,00:10:58,5300,0.0015914501293578709
casual,22,Jan,22,2715,00:45:15,150,4.5041041396920876e-05
member,23,Jan,23,644,00:10:44,3479,0.0010446518867992514
casual,23,Jan,23,2966,00:49:26,108,3.2429549805783031e-05
member,24,Jan,24,704,00:11:44,3477,0.0010440513395806258
casual,24,Jan,24,2581,00:43:01,145,4.3539673350356848e-05
casual,25,Jan,25,4746,01:19:06,185,5.5550617722869081e-05
member,25,Jan,25,592,00:09:52,1524,0.00045761698059271607
member,26,Jan,26,710,00:11:50,2235,0.00067111151681412107
casual,26,Jan,26,2232,00:37:12,287,8.6178525872775271e-05
member,27,Jan,27,646,00:10:46,6028,0.0018100493169375936
casual,27,Jan,27,2262,00:37:42,229,6.876265653263253e-05
member,28,Jan,28,640,00:10:40,6361,0.0019100404288387579
casual,28,Jan,28,2867,00:47:47,277,8.3175789779647215e-05
member,29,Jan,29,644,00:10:44,6186,0.0018574925472090169
casual,29,Jan,29,2591,00:43:11,202,6.0655269081186777e-05
casual,30,Jan,30,2055,00:34:15,259,7.7770864812016713e-05
member,30,Jan,30,663,00:11:03,6269,0.0018824152567819797
member,31,Jan,31,702,00:11:42,5096,0.0015301943130580586
casual,31,Jan,31,1686,00:28:06,281,8.4376884216898437e-05
casual,183,Jul,1,2594,00:43:14,6811,0.0020451635530295206
member,183,Jul,1,1019,00:16:59,8757,0.0026294959967522406
casual,184,Jul,2,2602,00:43:22,7602,0.00228267997799595
